experiment_id,cross_id,brood_id,vial_unique_id,treatment_id,data_collector,raw_egg_count,wall_egg_count,drip_egg_count,hole_egg_count,total_egg_count
SK_14,1,A,SK_14_1_A,multiply_marked,MS,95,0,0,0,95
SK_14,3,A,SK_14_3_A,multiply_marked,MS,96,0,0,0,96
SK_14,5,A,SK_14_5_A,multiply_marked,MS,95,0,0,0,95
SK_14,6,A,SK_14_6_A,multiply_marked,MS,111,0,0,0,111
SK_14,8,A,SK_14_8_A,multiply_marked,MS,109,0,0,0,109
SK_14,12,A,SK_14_12_A,multiply_marked,MS,66,0,0,0,66
SK_14,14,A,SK_14_14_A,multiply_marked,MS,130,0,0,0,130
SK_14,17,A,SK_14_17_A,multiply_marked,MS,119,0,0,0,119
SK_14,18,A,SK_14_18_A,multiply_marked,MS,76,0,0,0,76
SK_14,19,A,SK_14_19_A,multiply_marked,MS,118,0,0,0,118
SK_14,1,B,SK_14_1_B,multiply_marked,MS,169,1,0,0,170
SK_14,3,B,SK_14_3_B,multiply_marked,MS,136,0,0,0,136
SK_14,5,B,SK_14_5_B,multiply_marked,MS,124,0,0,0,124
SK_14,6,B,SK_14_6_B,multiply_marked,MS,140,0,0,0,140
SK_14,8,B,SK_14_8_B,multiply_marked,MS,163,0,0,0,163
SK_14,12,B,SK_14_12_B,multiply_marked,MS,126,0,0,0,126
SK_14,14,B,SK_14_14_B,multiply_marked,MS,132,0,0,0,132
SK_14,17,B,SK_14_17_B,multiply_marked,MS,155,0,0,0,155
SK_14,18,B,SK_14_18_B,multiply_marked,MS,159,0,0,0,159
SK_14,19,B,SK_14_19_B,multiply_marked,MS,111,0,0,0,111
SK_14,1,C,SK_14_1_C,multiply_marked,MS,144,0,0,0,144
SK_14,3,C,SK_14_3_C,multiply_marked,MS,113,0,0,0,113
SK_14,5,C,SK_14_5_C,multiply_marked,MS,88,0,0,0,88
SK_14,6,C,SK_14_6_C,multiply_marked,MS,102,1,0,0,103
SK_14,8,C,SK_14_8_C,multiply_marked,MS,110,0,0,0,110
SK_14,12,C,SK_14_12_C,multiply_marked,MS,96,0,0,0,96
SK_14,14,C,SK_14_14_C,multiply_marked,MS,117,0,0,0,117
SK_14,17,C,SK_14_17_C,multiply_marked,MS,70,0,0,0,70
SK_14,18,C,SK_14_18_C,multiply_marked,MS,98,0,0,0,98
SK_14,19,C,SK_14_19_C,multiply_marked,MS,111,0,0,0,111
SK_14,1,D,SK_14_1_D,multiply_marked,MS,211,0,0,0,211
SK_14,3,D,SK_14_3_D,multiply_marked,MS,131,1,0,0,132
SK_14,5,D,SK_14_5_D,multiply_marked,MS,130,0,0,0,130
SK_14,6,D,SK_14_6_D,multiply_marked,MS,119,0,0,0,119
SK_14,8,D,SK_14_8_D,multiply_marked,MS,188,0,0,0,188
SK_14,12,D,SK_14_12_D,multiply_marked,MS,145,1,0,0,146
SK_14,14,D,SK_14_14_D,multiply_marked,MS,156,0,0,0,156
SK_14,17,D,SK_14_17_D,multiply_marked,MS,133,0,0,0,133
SK_14,18,D,SK_14_18_D,multiply_marked,MS,134,0,0,0,134
SK_14,19,D,SK_14_19_D,multiply_marked,MS,104,0,0,0,104
SK_14,1,E,SK_14_1_E,multiply_marked,MS,193,0,0,0,193
SK_14,3,E,SK_14_3_E,multiply_marked,MS,129,0,3,0,132
SK_14,5,E,SK_14_5_E,multiply_marked,MS,176,1,0,0,177
SK_14,6,E,SK_14_6_E,multiply_marked,MS,153,2,0,0,155
SK_14,8,E,SK_14_8_E,multiply_marked,MS,170,0,0,0,170
SK_14,12,E,SK_14_12_E,multiply_marked,MS,122,4,0,0,126
