experiment_id,cross_id,brood_id,vial_unique_id,treatment_id,data_collector,raw_egg_count,wall_eggs_count,drip_egg_count,hole_egg_count,total_egg_count
SK_14,2,A,SK_14_2_A,marker_free,EH,71,0,0,0,71
SK_14,4,A,SK_14_4_A,marker_free,EH,71,0,0,0,71
SK_14,7,A,SK_14_7_A,marker_free,EH,69,0,0,0,69
SK_14,9,A,SK_14_9_A,marker_free,EH,88,0,0,0,88
SK_14,10,A,SK_14_10_A,marker_free,EH,61,1,0,0,62
SK_14,11,A,SK_14_11_A,marker_free,EH,52,0,0,0,52
SK_14,13,A,SK_14_13_A,marker_free,EH,86,0,0,0,86
SK_14,15,A,SK_14_15_A,marker_free,EH,109,1,0,0,110
SK_14,16,A,SK_14_16_A,marker_free,EH,89,1,0,0,90
SK_14,20,A,SK_14_20_A,marker_free,EH,76,4,0,0,80
SK_14,2,B,SK_14_2_B,marker_free,EH,56,2,0,0,58
SK_14,4,B,SK_14_4_B,marker_free,EH,46,0,0,0,46
SK_14,7,B,SK_14_7_B,marker_free,EH,50,1,0,0,51
SK_14,9,B,SK_14_9_B,marker_free,EH,80,0,0,0,80
SK_14,10,B,SK_14_10_B,marker_free,EH,43,0,0,0,43
SK_14,11,B,SK_14_11_B,marker_free,EH,47,3,0,0,50
SK_14,13,B,SK_14_13_B,marker_free,EH,83,0,0,0,83
SK_14,15,B,SK_14_15_B,marker_free,EH,75,0,0,0,75
SK_14,16,B,SK_14_16_B,marker_free,EH,64,1,0,0,65
SK_14,20,B,SK_14_20_B,marker_free,EH,14,1,0,0,15
SK_14,2,C,SK_14_2_C,marker_free,EH,17,0,0,0,17
SK_14,4,C,SK_14_4_C,marker_free,EH,43,0,0,0,43
SK_14,7,C,SK_14_7_C,marker_free,EH,30,0,0,0,30
SK_14,9,C,SK_14_9_C,marker_free,EH,85,0,0,0,85
SK_14,10,C,SK_14_10_C,marker_free,EH,33,0,0,0,33
SK_14,11,C,SK_14_11_C,marker_free,EH,27,1,0,0,28
SK_14,13,C,SK_14_13_C,marker_free,EH,57,0,0,0,57
SK_14,15,C,SK_14_15_C,marker_free,EH,64,1,0,0,65
SK_14,16,C,SK_14_16_C,marker_free,EH,54,0,0,0,54
SK_14,20,C,SK_14_20_C,marker_free,EH,66,0,0,0,66
SK_14,2,D,SK_14_2_D,marker_free,EH,55,0,0,0,55
SK_14,4,D,SK_14_4_D,marker_free,EH,79,0,0,0,79
SK_14,7,D,SK_14_7_D,marker_free,EH,76,0,0,0,76
SK_14,9,D,SK_14_9_D,marker_free,EH,64,0,0,0,64
SK_14,10,D,SK_14_10_D,marker_free,EH,37,0,0,0,37
SK_14,11,D,SK_14_11_D,marker_free,EH,66,0,0,0,66
SK_14,13,D,SK_14_13_D,marker_free,EH,113,0,0,0,113
SK_14,15,D,SK_14_15_D,marker_free,EH,114,0,0,0,114
SK_14,16,D,SK_14_16_D,marker_free,EH,140,0,0,0,140
SK_14,20,D,SK_14_20_D,marker_free,EH,64,0,0,0,64
SK_14,2,E,SK_14_2_E,marker_free,EH,70,0,0,0,70
SK_14,4,E,SK_14_4_E,marker_free,EH,95,0,0,0,95
SK_14,7,E,SK_14_7_E,marker_free,EH,72,2,0,0,74
SK_14,9,E,SK_14_9_E,marker_free,EH,72,1,0,0,73
SK_14,10,E,SK_14_10_E,marker_free,EH,59,5,0,0,64
SK_14,11,E,SK_14_11_E,marker_free,EH,105,0,0,0,105
SK_14,13,E,SK_14_13_E,marker_free,EH,97,0,2,0,99
SK_14,15,E,SK_14_15_E,marker_free,EH,167,4,0,0,171
SK_14,16,E,SK_14_16_E,marker_free,EH,157,2,0,0,159
SK_14,20,E,SK_14_20_E,marker_free,EH,114,8,0,0,122
SK_14,2,F,SK_14_2_F,marker_free,EH,57,0,0,0,57
SK_14,4,F,SK_14_4_F,marker_free,EH,130,0,0,0,130
SK_14,7,F,SK_14_7_F,marker_free,EH,69,5,0,0,74
SK_14,9,F,SK_14_9_F,marker_free,EH,77,0,0,0,77
SK_14,10,F,SK_14_10_F,marker_free,EH,54,0,0,0,54
SK_14,11,F,SK_14_11_F,marker_free,EH,102,0,0,0,102
SK_14,13,F,SK_14_13_F,marker_free,EH,126,1,3,0,130
SK_14,15,F,SK_14_15_F,marker_free,EH,125,0,0,0,125
SK_14,16,F,SK_14_16_F,marker_free,EH,93,1,0,0,94
SK_14,20,F,SK_14_20_F,marker_free,EH,97,1,0,0,98
SK_14,2,G,SK_14_2_G,marker_free,EH,99,0,0,0,99
SK_14,4,G,SK_14_4_G,marker_free,EH,125,0,0,0,125
SK_14,7,G,SK_14_7_G,marker_free,EH,119,1,0,0,120
SK_14,9,G,SK_14_9_G,marker_free,EH,109,0,0,0,109
SK_14,10,G,SK_14_10_G,marker_free,EH,100,1,0,0,101
SK_14,11,G,SK_14_11_G,marker_free,EH,150,2,0,0,152
SK_14,13,G,SK_14_13_G,marker_free,EH,123,0,0,0,123
SK_14,15,G,SK_14_15_G,marker_free,EH,191,0,0,0,191
SK_14,16,G,SK_14_16_G,marker_free,EH,143,0,0,0,143
SK_14,20,G,SK_14_20_G,marker_free,EH,112,0,0,0,112
SK_14,2,H,SK_14_2_H,marker_free,EH,75,0,0,0,75
SK_14,4,H,SK_14_4_H,marker_free,EH,96,0,0,0,96
SK_14,7,H,SK_14_7_H,marker_free,EH,113,1,0,0,114
SK_14,9,H,SK_14_9_H,marker_free,EH,76,0,0,0,76
SK_14,10,H,SK_14_10_H,marker_free,EH,73,0,0,0,73
SK_14,11,H,SK_14_11_H,marker_free,EH,92,0,0,0,92
