ID,count
vial14A001_validated,99
vial14A002_validated,71
vial14A003_validated,101
vial14A004_validated,71
vial14A005_validated,98
vial14A006_validated,115
vial14A007_validated,69
vial14A008_validated,114
vial14A009_validated,88
vial14A010_validated,61
vial14A011_validated,52
vial14A012_validated,68
vial14A013_validated,86
vial14A014_validated,128
vial14A015_validated,109
vial14A016_validated,89
vial14A017_validated,118
vial14A018_validated,77
vial14A019_validated,123
vial14A020_validated,76
