ID,count
vial14A001_validated,95
vial14A002_validated,72
vial14A003_validated,96
vial14A004_validated,61
vial14A005_validated,95
vial14A006_validated,111
vial14A007_validated,67
vial14A008_validated,109
vial14A009_validated,78
vial14A010_validated,55
vial14A011_validated,51
vial14A012_validated,66
vial14A013_validated,81
vial14A014_validated,130
vial14A015_validated,104
vial14A016_validated,90
vial14A017_validated,119
vial14A018_validated,76
vial14A019_validated,118
vial14A020_validated,73
