ID,count
vial14B001_validated,172
vial14B002_validated,56
vial14B003_validated,140
vial14B004_validated,46
vial14B005_validated,129
vial14B006_validated,146
vial14B007_validated,50
vial14B008_validated,189
vial14B009_validated,80
vial14B010_validated,43
vial14B011_validated,47
vial14B012_validated,133
vial14B013_validated,83
vial14B014_validated,137
vial14B015_validated,75
vial14B016_validated,64
vial14B017_validated,163
vial14B018_validated,161
vial14B019_validated,118
vial14B020_validated,14
