ID,count
vial14B001_validated,169
vial14B002_validated,57
vial14B003_validated,136
vial14B004_validated,44
vial14B005_validated,124
vial14B006_validated,140
vial14B007_validated,45
vial14B008_validated,163
vial14B009_validated,73
vial14B010_validated,40
vial14B011_validated,40
vial14B012_validated,126
vial14B013_validated,78
vial14B014_validated,132
vial14B015_validated,76
vial14B016_validated,59
vial14B017_validated,155
vial14B018_validated,159
vial14B019_validated,111
vial14B020_validated,13
