ID,count
vial14C001_validated,152
vial14C002_validated,17
vial14C003_validated,124
vial14C004_validated,43
vial14C005_validated,93
vial14C006_validated,107
vial14C007_validated,30
vial14C008_validated,111
vial14C009_validated,85
vial14C010_validated,33
vial14C011_validated,27
vial14C012_validated,98
vial14C013_validated,57
vial14C014_validated,127
vial14C015_validated,64
vial14C016_validated,54
vial14C017_validated,76
vial14C018_validated,103
vial14C019_validated,121
vial14C020_validated,66
