ID,count
vial14C001_validated,144
vial14C002_validated,17
vial14C003_validated,113
vial14C004_validated,44
vial14C005_validated,88
vial14C006_validated,102
vial14C007_validated,30
vial14C008_validated,110
vial14C009_validated,85
vial14C010_validated,32
vial14C011_validated,26
vial14C012_validated,96
vial14C013_validated,51
vial14C014_validated,117
vial14C015_validated,59
vial14C016_validated,52
vial14C017_validated,70
vial14C018_validated,98
vial14C019_validated,111
vial14C020_validated,61
