ID,count
vial14D001_validated,226
vial14D002_validated,55
vial14D003_validated,140
vial14D004_validated,79
vial14D005_validated,128
vial14D006_validated,122
vial14D007_validated,76
vial14D008_validated,210
vial14D009_validated,64
vial14D010_validated,37
vial14D011_validated,66
vial14D012_validated,152
vial14D013_validated,113
vial14D014_validated,164
vial14D015_validated,114
vial14D016_validated,140
vial14D017_validated,140
vial14D018_validated,146
vial14D019_validated,108
vial14D020_validated,64
