ID,count
vial14D001_validated,211
vial14D002_validated,55
vial14D003_validated,131
vial14D004_validated,80
vial14D005_validated,130
vial14D006_validated,119
vial14D007_validated,74
vial14D008_validated,188
vial14D009_validated,62
vial14D010_validated,29
vial14D011_validated,62
vial14D012_validated,145
vial14D013_validated,106
vial14D014_validated,156
vial14D015_validated,108
vial14D016_validated,137
vial14D017_validated,133
vial14D018_validated,134
vial14D019_validated,104
vial14D020_validated,64
