ID,count
vial14E001_validated,193
vial14E002_validated,64
vial14E003_validated,129
vial14E004_validated,93
vial14E005_validated,176
vial14E006_validated,153
vial14E007_validated,73
vial14E008_validated,170
vial14E009_validated,69
vial14E010_validated,55
vial14E011_validated,102
vial14E012_validated,122
vial14E013_validated,89
vial14E014_validated,159
vial14E015_validated,130
vial14E016_validated,142
vial14E017_validated,130
vial14E018_validated,167
vial14E019_validated,171
vial14E020_validated,104
