ID,count
vial14F001_validated,206
vial14F002_validated,57
vial14F003_validated,133
vial14F004_validated,130
vial14F005_validated,148
vial14F006_validated,172
vial14F007_validated,69
vial14F008_validated,194
vial14F009_validated,77
vial14F010_validated,54
vial14F011_validated,102
vial14F012_validated,123
vial14F013_validated,126
vial14F014_validated,161
vial14F015_validated,125
vial14F016_validated,93
vial14F017_validated,145
vial14F018_validated,105
vial14F019_validated,137
vial14F020_validated,97
