ID,count
vial14F001_validated,190
vial14F002_validated,56
vial14F003_validated,131
vial14F004_validated,114
vial14F005_validated,145
vial14F006_validated,162
vial14F007_validated,63
vial14F008_validated,166
vial14F009_validated,70
vial14F010_validated,52
vial14F011_validated,95
vial14F012_validated,116
vial14F013_validated,113
vial14F014_validated,151
vial14F015_validated,122
vial14F016_validated,89
vial14F017_validated,134
vial14F018_validated,104
vial14F019_validated,128
vial14F020_validated,88
