ID,count
vial14G001_validated,202
vial14G002_validated,99
vial14G003_validated,210
vial14G004_validated,125
vial14G005_validated,222
vial14G006_validated,225
vial14G007_validated,119
vial14G008_validated,232
vial14G009_validated,109
vial14G010_validated,100
vial14G011_validated,150
vial14G012_validated,220
vial14G013_validated,123
vial14G014_validated,184
vial14G015_validated,191
vial14G016_validated,143
vial14G017_validated,164
vial14G018_validated,188
vial14G019_validated,162
vial14G020_validated,112
