ID,count
vial14G001_validated,191
vial14G002_validated,92
vial14G003_validated,194
vial14G004_validated,114
vial14G005_validated,208
vial14G006_validated,216
vial14G007_validated,107
vial14G008_validated,197
vial14G009_validated,105
vial14G010_validated,88
vial14G011_validated,132
vial14G012_validated,210
vial14G013_validated,114
vial14G014_validated,170
vial14G015_validated,167
vial14G016_validated,137
vial14G017_validated,143
vial14G018_validated,178
vial14G019_validated,161
vial14G020_validated,103
