ID,count
vial14H001_validated,117
vial14H002_validated,75
vial14H003_validated,106
vial14H004_validated,96
vial14H005_validated,157
vial14H006_validated,215
vial14H007_validated,113
vial14H008_validated,206
vial14H009_validated,76
vial14H010_validated,73
vial14H011_validated,92
vial14H012_validated,169
vial14H013_validated,124
vial14H014_validated,212
vial14H015_validated,157
vial14H016_validated,132
vial14H017_validated,191
vial14H018_validated,116
vial14H019_validated,201
vial14H020_validated,58
