ID,count
vial14I001_validated,157
vial14I002_validated,72
vial14I003_validated,110
vial14I004_validated,71
vial14I005_validated,117
vial14I006_validated,118
vial14I007_validated,69
vial14I008_validated,111
vial14I009_validated,68
vial14I010_validated,44
vial14I011_validated,78
vial14I012_validated,158
vial14I013_validated,108
vial14I014_validated,122
vial14I015_validated,121
vial14I016_validated,104
vial14I017_validated,94
vial14I018_validated,133
vial14I019_validated,118
vial14I020_validated,78
