ID,count
vial14J001_validated,148
vial14J002_validated,83
vial14J003_validated,102
vial14J004_validated,46
vial14J005_validated,126
vial14J006_validated,211
vial14J007_validated,101
vial14J008_validated,203
vial14J009_validated,35
vial14J010_validated,67
vial14J011_validated,60
vial14J012_validated,132
vial14J013_validated,78
vial14J014_validated,187
vial14J015_validated,133
vial14J016_validated,97
vial14J017_validated,128
vial14J018_validated,172
vial14J019_validated,152
vial14J020_validated,88
