ID,count
vial14J001_validated,137
vial14J002_validated,78
vial14J003_validated,91
vial14J004_validated,45
vial14J005_validated,118
vial14J006_validated,207
vial14J007_validated,97
vial14J008_validated,199
vial14J009_validated,34
vial14J010_validated,77
vial14J011_validated,56
vial14J012_validated,125
vial14J013_validated,77
vial14J014_validated,180
vial14J015_validated,122
vial14J016_validated,99
vial14J017_validated,126
vial14J018_validated,164
vial14J019_validated,136
vial14J020_validated,82
