ID,count
vial14E001_validated,220
vial14E002_validated,70
vial14E003_validated,135
vial14E004_validated,95
vial14E005_validated,181
vial14E006_validated,162
vial14E007_validated,72
vial14E008_validated,191
vial14E009_validated,72
vial14E010_validated,59
vial14E011_validated,105
vial14E012_validated,123
vial14E013_validated,97
vial14E014_validated,166
vial14E015_validated,167
vial14E016_validated,157
vial14E017_validated,140
vial14E018_validated,177
vial14E019_validated,196
vial14E020_validated,114
