"","ID","MLE_X_length","MLE_x1","MLE_x2","MLE_x3","MLE_x4","MLE_x5","MLE_p","MLE_y1","MLE_y2","MLE_y3","MLE_y4","MLE_y5","MLE_v1f+","MLE_v2f+","MLE_v3f+","MLE_v4f+","MLE_v5f+","MLE_v6f+","MLE_v1f-","MLE_v2f-","MLE_v3f-","MLE_v4f-","MLE_v5f-","MLE_v6f-","MLE_v1m+","MLE_v2m+","MLE_v3m+","MLE_v4m+","MLE_v5m+","MLE_v6m+","MLE_v1m-","MLE_v2m-","MLE_v3m-","MLE_v4m-","MLE_v5m-","MLE_v6m-","lnL","Convergence"
"MLE_H2_outputs.5",2,78.7688836753567,0.0473594659230295,0.0626039330791906,0.282997886579532,0.218944751450181,0.175782799721634,6,0.568313591076354,0.751247196950288,3.39597463895438,2.62733701740217,2.10939359665961,1,1,1,1,1,1,0.843340885888376,0.917014981427212,0.999999994951044,0.931162097867101,0.66780307088788,0.908389015059475,1,1,1,1,1,1,0.77152110153123,0.999999110000205,0.889177935572701,0.928210320819928,0.430995737664217,0.941180355602524,27692.7142215815,0
"MLE_H2_outputs.4",2,78.7080220401616,0.0472497598476352,0.0619949244844752,0.283457867471344,0.218728501786124,0.175649166812038,5,0.472497598476352,0.619949244844752,2.83457867471344,2.18728501786124,1.75649166812038,1,1,1,1,1,1,0.843476932607685,0.919710204383067,0.999060499048866,0.930823929890391,0.667487632877537,0.907771348516924,1,1,1,1,1,1,0.773665704114725,0.999719330728574,0.893892939591295,0.92321419096165,0.432035756194141,0.939393983485972,27694.8602888907,0
"MLE_H2_outputs.6",2,79.0610075247117,0.0474029467425108,0.0632455344434422,0.283796660983361,0.219922211569369,0.176242721508434,7,0.663641254395151,0.88543748220819,3.97315325376706,3.07891096197116,2.46739810111808,1,1,1,1,1,1,0.830837428446781,0.940732759038883,0.987607573447523,0.929316370284651,0.666929748385031,0.912371870199022,1,1,1,1,1,1,0.776215911496432,0.986643340965322,0.89036230874507,0.933295157857615,0.429207330908056,0.944344934377746,27696.459060004,0
"MLE_H2_outputs.7",2,79.4543937411176,0.0475284115357838,0.0637468774092346,0.285101769875041,0.221158115276503,0.177008763314613,8,0.760454584572541,1.01995003854775,4.56162831800066,3.53852984442406,2.83214021303381,1,1,1,1,1,1,0.846831251755211,0.910543526156584,0.999996592063059,0.93027843366274,0.668070380347253,0.910686160253052,1,1,1,1,1,1,0.773064690511811,0.999934392157532,0.877894265397544,0.931489514235853,0.430509639545059,0.944264630422179,27703.4184257874,0
"MLE_H2_outputs.3",2,79.1222713700289,0.04710193887673,0.0613636801473347,0.286416531650145,0.219971585791696,0.176368977234382,4,0.37681551101384,0.490909441178677,2.29133225320116,1.75977268633357,1.41095181787506,1,1,1,1,1,1,0.843804866838116,0.92221071320714,0.999999743893404,0.928935120042563,0.668223703733022,0.905721264917863,1,1,1,1,1,1,0.776720035496241,0.999999318062964,0.898226543754263,0.918567130516333,0.433019916164392,0.936750145168213,27706.1740086065,0
"MLE_H2_outputs.8",2,79.9015086935518,0.0476114495392408,0.0642742401910717,0.286731009647432,0.222576452386274,0.177821935171499,9,0.857006091706335,1.15693632343929,5.16115817365377,4.00637614295293,3.20079483308699,1,1,1,1,1,1,0.848367008553393,0.908030423360096,0.999998268615361,0.929060107850346,0.669034340694993,0.910910175333013,1,1,1,1,1,1,0.77488256430222,0.999225359971744,0.872840973031522,0.932884959997847,0.430396278253249,0.945239517164503,27712.9430768651,0
"MLE_H2_outputs.9",2,80.3704524860139,0.0476902280051171,0.0648003543357092,0.288557987711358,0.224009588657713,0.178646366150241,10,0.953804560102343,1.29600708671418,5.77115975422717,4.48019177315426,3.57292732300483,1,1,1,1,1,1,0.849854362506351,0.907937749464849,0.997405561239001,0.928264323682756,0.669150519720855,0.91217558220953,1,1,1,1,1,1,0.776912106092755,0.999994773186891,0.867345021899773,0.932207255592965,0.430594120770995,0.946537515761479,27723.9885733328,0
"MLE_H2_outputs.2",2,80.6365420961262,0.0469178594700463,0.0608270557479416,0.294798713439628,0.224812670375459,0.179009121928187,3,0.281507156820278,0.36496233448765,1.76879228063777,1.34887602225276,1.07405473156912,1,1,1,1,1,1,0.847215435317069,0.92338468041447,0.999996987616176,0.925190520996573,0.668904922252914,0.904530979576856,1,1,1,1,1,1,0.78485783568976,0.999999999992315,0.900024783069743,0.908863840934592,0.435066067425838,0.934271811044586,27733.1763930114,0
"MLE_H2_outputs.1",2,84.9340998784077,0.0468602996874411,0.0609171706827743,0.315253331840482,0.23914635113294,0.187163845440439,2,0.187441198749764,0.243668682731097,1.26101332736193,0.956585404531761,0.748655381761757,1,1,1,1,1,1,0.852160237588393,0.926335005032956,0.999690611787511,0.918635291422776,0.670641666091904,0.901825852563103,1,1,1,1,1,1,0.800613492136408,0.999462721363548,0.89848820096915,0.893673160803371,0.4379478059022,0.931594011420296,27791.632244804,0
"MLE_H2_outputs",2,92.9979238183861,0.0490455776079678,0.065360716971115,0.3350230075719,0.269484732997141,0.211065203035738,1,0.0980911552159355,0.13072143394223,0.670046015143799,0.538969465994283,0.422130406071475,1,1,1,1,1,1,0.864508205455425,0.927800666167513,0.999999999235641,0.916024555258972,0.664746539534603,0.901035628260241,1,1,1,1,1,1,0.818833601363775,0.999999639226631,0.914867232813223,0.881095957932052,0.434645247288594,0.927367454602755,28020.9481320946,0
