"","ID","MLE_X_length","MLE_x1","MLE_x2","MLE_x3","MLE_x4","MLE_x5","MLE_p","MLE_y1","MLE_y2","MLE_y3","MLE_y4","MLE_y5","MLE_v1f+","MLE_v2f+","MLE_v3f+","MLE_v4f+","MLE_v5f+","MLE_v6f+","MLE_v1f-","MLE_v2f-","MLE_v3f-","MLE_v4f-","MLE_v5f-","MLE_v6f-","MLE_v1m+","MLE_v2m+","MLE_v3m+","MLE_v4m+","MLE_v5m+","MLE_v6m+","MLE_v1m-","MLE_v2m-","MLE_v3m-","MLE_v4m-","MLE_v5m-","MLE_v6m-","lnL","Convergence"
"MLE_Vial_outputs.4",3,74.9459346542635,0.0408330884763452,0.072262846552666,0.31274201848611,0.177403597085272,0.146217795942242,5,0.408330884763452,0.72262846552666,3.1274201848611,1.77403597085272,1.46217795942242,0.999999998022004,1,0.999999472323637,1,0.999999999999981,1,0.918582036498014,0.999999991961335,0.999999901682163,0.554282227154831,0.927679326606447,0.542650289188499,1,0.999994811831262,0.651690374609344,0.999999999964944,0.999999999977099,0.999999999999999,0.765639248736661,0.999999998447854,0.999999999999964,0.328849111823606,1,0.794132583093807,230.76213803078,0
"MLE_Vial_outputs.3",3,88.7011569041328,0.0654869089455646,0.110545635059602,0.257449303429548,0.296781520479748,0.156748201126866,4,0.523895271564517,0.884365080476816,2.05959442743638,2.37425216383798,1.25398560901493,0.999999999838174,1,1,1,1,0.736445975672447,1,0.621334059519465,0.999998601340168,0.782734597818711,0.841110576891086,0.999999091080018,1,1,1,0.747656921885068,1,0.521277198341128,1,0.715006692582665,0.70909707871496,1,0.345353946870746,1,228.195041941678,0
"MLE_Vial_outputs.9",3,79.4677890058798,0.0339158974463885,0.016590946099402,0.309683830288431,0.276493529756367,0.157993686468209,10,0.67831794892777,0.33181892198804,6.19367660576862,5.52987059512735,3.15987372936418,1,1,1,1,1,1,1,1,1,1,0.453558572498263,0.731148428300958,1,1,1,0.803488693909417,0.999999999999992,0.874601045847754,0.967451102161288,1,0.999920346482725,1,0.240871123387671,1,251.604387021709,0
"MLE_Vial_outputs.2",3,78.3570501814212,0.0396533581576856,0.070647554747674,0.311337481285912,0.184228764042358,0.177703343580584,3,0.237920148946113,0.423885328486044,1.86802488771547,1.10537258425415,1.0662200614835,0.871584043829443,0.999995284324723,0.786683466936189,0.999999999885566,0.999991272875933,1,0.999999998989016,0.99999999851525,0.999996488323907,0.999590141447277,0.99999999999894,0.578986428598742,0.999927103621375,0.999999205549363,0.999999999998983,0.999998191900076,0.999999924201074,0.999999871751611,0.999999779710999,0.630500734047604,0.956692069322545,0.632381737241465,0.717348759055087,0.999999999798255,322.782214349008,0
"MLE_Vial_outputs.91",3,77.0004866347514,0.0179413567275442,0.0185071596414359,0.291012132874659,0.263995754832973,0.178548462270903,10,0.358827134550884,0.370143192828719,5.82024265749317,5.27991509665946,3.57096924541805,1,1,1,1,1,0.909765679300197,1,0.650238295865671,1,0.795204845015469,0.265354246081277,1,1,0.999966316054587,0.639176284984503,0.999999999999994,0.981792558045584,1,0.999999967652043,1,0.922236666187798,0.555256902452366,0.489610609640218,1,246.258750215954,0
"MLE_Vial_outputs.92",3,89.5791284612797,0.0795577265606668,0.048519221992224,0.284190653037709,0.238077798727218,0.24544588429498,10,1.59115453121334,0.970384439844479,5.68381306075417,4.76155597454436,4.90891768589959,0.899946572694744,0.999999998869843,0.999999830149102,0.99995986352162,1,1,1,0.939297011894992,0.99999999738285,1,0.473891243555751,0.47349481543858,0.760573981004317,0.999999999986815,1,1,1,1,1,1,1,0.590599892676815,0.326243164114916,1,166.403441384204,0
"MLE_Vial_outputs.31",3,73.4447838814221,0.0258313581745919,0.0659424227359275,0.337961003300507,0.179557410433571,0.125155644169624,4,0.206650865396735,0.52753938188742,2.70368802640406,1.43645928346856,1.00124515335699,1,0.999999999999981,1,0.548567084377877,1,0.99999999751879,1,0.999999999999168,1,1,0.659075308826544,1,1,1,0.697863670963675,0.999999999999225,1,0.99999999995278,0.455855195132485,1,1,1,0.683084345585237,0.999987402093837,336.564952391702,0
"MLE_Vial_outputs.1",3,84.6811132838017,0.0142472630891563,0.144133859290012,0.281869609067249,0.223445984987673,0.183114416403928,2,0.0569890523566254,0.576535437160047,1.127478436269,0.89378393995069,0.732457665615711,0.999999999999999,0.80055194450877,1,1,1,1,0.99999889114215,1,0.719905239926421,0.922007333696632,0.626068623364469,1,1,1,0.999997947994605,0.716253236773357,1,1,1,1,1,1,0.250442953720411,1,321.00417494525,0
"MLE_Vial_outputs.8",3,75.2492677323368,0.0989850846612648,2.77555756156289e-17,0.298825103860032,0.105385816580851,0.24929667222122,9,1.78173152390277,4.9960036108132e-16,5.37885186948058,1.89694469845532,4.48734009998195,0.86828452868009,0.999999996994783,0.999997543999035,0.999999912086293,0.999945466902321,0.796010989143893,0.999999993178121,0.74088049246368,0.874517613079213,0.664301557014773,0.99998853538571,0.99998392272293,0.999449775669214,0.478585808472817,0.999999280482022,0.999949579859789,0.999864456844683,0.99948090695909,0.999512881173993,0.999999957835504,0.999988930117552,0.697193027166884,0.953346786326265,0.193692839327851,169.379731487931,0
"MLE_Vial_outputs.81",3,78.4591830628807,0.109798553702156,0.0869821605083263,0.218277741812512,0.201350941904103,0.168182432701709,9,1.97637396663882,1.56567888914987,3.92899935262522,3.62431695427385,3.02728378863076,1,0.885669585197306,1,0.999996874041234,1,1,0.901848238117528,1,0.795398116946725,0.873698471595503,1,0.88089960133801,1,1,1,1,1,1,1,1,0.41600837308467,0.725232108158443,0.52376975983052,1,350.986988811027,0
