"","ID","MLE_X_length","MLE_x1","MLE_x2","MLE_x3","MLE_x4","MLE_x5","MLE_p","MLE_y1","MLE_y2","MLE_y3","MLE_y4","MLE_y5","MLE_v1f+","MLE_v2f+","MLE_v3f+","MLE_v4f+","MLE_v5f+","MLE_v6f+","MLE_v1f-","MLE_v2f-","MLE_v3f-","MLE_v4f-","MLE_v5f-","MLE_v6f-","MLE_v1m+","MLE_v2m+","MLE_v3m+","MLE_v4m+","MLE_v5m+","MLE_v6m+","MLE_v1m-","MLE_v2m-","MLE_v3m-","MLE_v4m-","MLE_v5m-","MLE_v6m-","lnL","Convergence"
"MLE_Cross_outputs.4",3,73.6090372110086,0.0462740049868973,0.0627957862544078,0.263948874617811,0.199647837006656,0.163423869244314,5,0.462740049868973,0.627957862544078,2.63948874617811,1.99647837006656,1.63423869244314,1,1,1,0.927457128443301,1,1,0.881119550193464,1,1,1,0.74476667233644,0.928998937503354,0.89549000368361,1,1,0.990614843664837,0.999952321150362,0.900735564871562,0.999656400594537,1,0.677268178053788,0.999999951658034,0.491746659306441,1,3548.56570671935,0
"MLE_Cross_outputs.41",3,76.8669426454919,0.0494247475029298,0.0565541204655738,0.261020042464483,0.24030316273507,0.161367353286862,5,0.494247475029298,0.565541204655738,2.61020042464483,2.4030316273507,1.61367353286862,0.999999999756717,0.999999783202878,1,1,0.999999999441908,0.940236905819311,0.817566447825363,0.99999999871482,1,0.864963276293142,0.695468335568076,0.841479630902605,1,0.865400240009347,0.999991669578402,0.827036390302186,0.999999999999662,0.70202976393227,0.758138259843191,0.999991614414438,0.999999999988627,0.999999998925192,0.406811157985236,0.999999999996183,2192.15060036358,0
"MLE_Cross_outputs.3",3,80.4051752596353,0.0370233515938267,0.0421370672492089,0.331740401948706,0.23797521006972,0.155175721734891,4,0.296186812750614,0.337096537993672,2.65392321558965,1.90380168055776,1.24140577387912,1,0.999999999999113,0.999999999999989,0.999999997091553,1,0.999999998431273,0.999999999999998,1,0.674176272175635,0.947258248058373,0.729657982961118,0.928532221353773,1,0.999999966100161,0.758620021929815,0.999997988737364,0.99999999999997,0.999999511026733,0.999999519629901,0.665622179636446,0.999999999999346,0.999908369584041,0.490389569241357,1,2494.22313031526,0
"MLE_Cross_outputs.42",3,77.6897411506085,0.0428303431707788,0.0642775282355705,0.260305067029704,0.233653837171682,0.175830635898349,5,0.428303431707788,0.642775282355705,2.60305067029704,2.33653837171682,1.75830635898349,0.999997798673808,1,0.954943395709669,1,0.999136614403239,0.879078611967729,0.80593543594591,0.971557669265363,0.999999966295113,0.999584722719456,0.687587992670279,0.999999988865272,1,0.999999377452829,0.999804659221103,0.999999999999998,0.999999493338518,0.923763893502608,0.863195333876536,0.992227686382073,0.895733337307774,0.928235623272477,0.410125276544922,0.999999983971025,2988.66150768732,0
"MLE_Cross_outputs.5",3,75.3544595333938,0.0341046949693604,0.0614414776203375,0.261862825965256,0.232798876920664,0.163336719858319,6,0.409256339632325,0.737297731444051,3.14235391158307,2.79358652304797,1.96004063829983,0.999895539409733,0.999967494366553,0.945971780506403,0.99971347108028,0.99999969862301,0.997915987590502,0.999924958875709,0.76175935334356,0.999534472380587,0.892293170618686,0.688586954255348,0.904693137263593,0.947327339868174,0.99999957122945,0.997824376218647,0.999964580752222,0.999999639259734,0.945563856330484,0.884240983850826,0.999999998416352,0.84650093497404,0.999158202045093,0.480023666729314,0.967198147840291,3339.63541061003,0
"MLE_Cross_outputs.43",3,70.4984920205694,0.0601602891403094,0.0520578846115915,0.265937034873843,0.185796920258793,0.141032791321157,5,0.601602891403094,0.520578846115915,2.65937034873843,1.85796920258793,1.41032791321157,0.807869661146532,1,0.83372752045839,1,0.999999999998368,1,1,0.773976783706439,1,1,0.707778318401176,0.930730811607359,1,0.999999508820484,1,1,1,0.796006649737387,1,0.937372983453872,1,0.999999998104552,0.301457781825149,1,2173.69703799237,0
"MLE_Cross_outputs.31",3,76.5746679765349,0.05765331228513,0.0584838504584411,0.299039974047161,0.192704425918882,0.157865117055735,4,0.46122649828104,0.467870803667529,2.39231979237728,1.54163540735106,1.26292093644588,0.999999982702832,0.999999999999953,1,0.999999999999799,1,0.798366983469717,0.999999981263352,1,0.845609647206723,0.999999997628985,0.640194522466939,1,1,0.733483665183471,0.999999999999674,0.94975742687385,0.999999991631705,0.999999999999998,0.816100960572142,0.999999967539962,1,1,0.529087284050548,0.99999854822889,3077.50791517527,0
"MLE_Cross_outputs.44",3,80.4051169916589,0.0300652518397643,0.0875590416645691,0.27309043486969,0.200226801641918,0.213109639900647,5,0.300652518397643,0.875590416645691,2.7309043486969,2.00226801641918,2.13109639900647,1,0.7847804918233,0.990370243976112,1,0.999999719478198,1,0.839780936296885,0.999999256156656,1,0.999999999896543,0.666816332718783,0.999998162981157,1,1,0.999999999999999,0.823260116402414,1,1,0.737724241477923,1,0.999999999999994,0.999999999999784,0.465749060477158,0.849198642299971,2536.84349811326,0
"MLE_Cross_outputs.45",3,80.6657288661354,0.0641949312650437,0.0525291651682025,0.285981664559226,0.201203157462435,0.202748370206446,5,0.641949312650437,0.525291651682025,2.85981664559226,2.01203157462435,2.02748370206446,0.999999997177291,0.999999891410125,0.999907539121989,0.843256821139177,0.907285660408637,0.976481164076284,0.998719177956801,0.91538652575152,0.988217457207281,0.8575836600747,0.702674551914226,0.999999976678349,0.999999999579777,0.806205546087091,0.999999872953874,0.920816058525145,0.999999999968042,0.791403363994659,0.776138749660472,0.999999903227232,0.766310900843675,1,0.47643777672183,0.999998033478357,2468.4658823777,0
"MLE_Cross_outputs.9",3,80.1802756825246,0.0433505180160028,0.0640762577433123,0.298628877676252,0.216181112571874,0.179565990817805,10,0.867010360320057,1.28152515486625,5.97257755352505,4.32362225143748,3.5913198163561,0.999999999995669,0.958365004492898,0.999999997932811,1,1,1,0.932482691901245,0.891018968971704,0.999998319183129,0.99999999793441,0.560620717570671,0.999946725119695,0.999999977662362,0.999999997433812,0.999994703190099,0.999995787717989,0.999999999994836,0.999999999999973,0.999999995297029,0.999999999703399,0.936272279432332,0.656821787470938,0.391875726104741,0.999999999999763,2683.28165076191,0
