"","experiment_id","cross_id","brood_id","vial_unique_id","treatment_id","data_collector","phenotypic_class_1","phenotypic_class_2","phenotypic_class_3","phenotypic_class_4","phenotypic_class_5","phenotypic_class_6","phenotypic_class_7","phenotypic_class_8","phenotypic_class_9","phenotypic_class_10","phenotypic_class_11","phenotypic_class_12","phenotypic_class_13","phenotypic_class_14","phenotypic_class_15","phenotypic_class_16","phenotypic_class_17","phenotypic_class_18","phenotypic_class_19","phenotypic_class_20","phenotypic_class_21","phenotypic_class_22","phenotypic_class_23","phenotypic_class_24","phenotypic_class_25","phenotypic_class_26","phenotypic_class_27","phenotypic_class_28","phenotypic_class_29","phenotypic_class_30","phenotypic_class_31","phenotypic_class_32","phenotypic_class_33","phenotypic_class_34","phenotypic_class_35","phenotypic_class_36","phenotypic_class_37","phenotypic_class_38","phenotypic_class_39","phenotypic_class_40","phenotypic_class_41","phenotypic_class_42","phenotypic_class_43","phenotypic_class_44","phenotypic_class_45","phenotypic_class_46","phenotypic_class_47","phenotypic_class_48","phenotypic_class_49","phenotypic_class_50","phenotypic_class_51","phenotypic_class_52","phenotypic_class_53","phenotypic_class_54","phenotypic_class_55","phenotypic_class_56","phenotypic_class_57","phenotypic_class_58","phenotypic_class_59","phenotypic_class_60","phenotypic_class_61","phenotypic_class_62","phenotypic_class_63","phenotypic_class_64","phenotypic_class_65","phenotypic_class_66","phenotypic_class_67","phenotypic_class_68","phenotypic_class_69","phenotypic_class_70","phenotypic_class_71","phenotypic_class_72","phenotypic_class_73","phenotypic_class_74","phenotypic_class_75","phenotypic_class_76","phenotypic_class_77","phenotypic_class_78","phenotypic_class_79","phenotypic_class_80","phenotypic_class_81","phenotypic_class_82","phenotypic_class_83","phenotypic_class_84","phenotypic_class_85","phenotypic_class_86","phenotypic_class_87","phenotypic_class_88","phenotypic_class_89","phenotypic_class_90","phenotypic_class_91","phenotypic_class_92","phenotypic_class_93","phenotypic_class_94","phenotypic_class_95","phenotypic_class_96","phenotypic_class_97","phenotypic_class_98","phenotypic_class_99","phenotypic_class_100","phenotypic_class_101","phenotypic_class_102","phenotypic_class_103","phenotypic_class_104","phenotypic_class_105","phenotypic_class_106","phenotypic_class_107","phenotypic_class_108","phenotypic_class_109","phenotypic_class_110","phenotypic_class_111","phenotypic_class_112","phenotypic_class_113","phenotypic_class_114","phenotypic_class_115","phenotypic_class_116","phenotypic_class_117","phenotypic_class_118","phenotypic_class_119","phenotypic_class_120","phenotypic_class_121","phenotypic_class_122","phenotypic_class_123","phenotypic_class_124","phenotypic_class_125","phenotypic_class_126","phenotypic_class_127","phenotypic_class_128","female_adult_count","male_adult_count","total_adult_count","EH_raw_multiply_marked_total_egg_count","MS_raw_multiply_marked_total_egg_count","transformed_mean_multiply_marked_total_egg_count","derived_multiply_marked_female_viability","derived_multiply_marked_male_viability","derived_multiply_marked_total_viability"
"1","SK_14",1,"A","SK_14_1_A","multiply_marked","SK",13,2,0,0,1,0,4,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,52,99,95,107,0.579439252336449,0.392523364485981,0.485981308411215
"2","SK_14",3,"A","SK_14_3_A","multiply_marked","SK",6,3,1,0,0,2,3,2,3,4,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,16,46,101,96,108,0.555555555555556,0.296296296296296,0.425925925925926
"3","SK_14",5,"A","SK_14_5_A","multiply_marked","SK",10,3,1,0,1,0,6,2,6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,2,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,59,98,95,106,0.660377358490566,0.452830188679245,0.556603773584906
"4","SK_14",6,"A","SK_14_6_A","multiply_marked","SK",8,5,0,0,1,2,7,3,4,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2,0,0,0,2,2,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,74,115,111,126,0.619047619047619,0.555555555555556,0.587301587301587
"5","SK_14",8,"A","SK_14_8_A","multiply_marked","SK",12,1,0,0,0,0,0,1,3,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,5,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,55,114,109,124,0.483870967741935,0.403225806451613,0.443548387096774
"6","SK_14",12,"A","SK_14_12_A","multiply_marked","SK",6,1,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,36,68,66,71,0.47887323943662,0.535211267605634,0.507042253521127
"7","SK_14",14,"A","SK_14_14_A","multiply_marked","SK",9,10,0,0,0,1,4,4,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,1,1,4,4,3,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,34,75,128,130,145,0.56551724137931,0.468965517241379,0.517241379310345
"8","SK_14",17,"A","SK_14_17_A","multiply_marked","SK",9,6,0,0,4,0,2,1,3,2,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,1,1,5,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,31,70,118,119,133,0.586466165413534,0.466165413533835,0.526315789473684
"9","SK_14",18,"A","SK_14_18_A","multiply_marked","SK",6,4,1,0,0,0,2,3,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,38,77,76,83,0.55421686746988,0.36144578313253,0.457831325301205
"10","SK_14",19,"A","SK_14_19_A","multiply_marked","SK",10,7,2,1,1,0,2,2,1,5,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,5,0,3,3,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,37,79,123,118,135,0.622222222222222,0.548148148148148,0.585185185185185
