"","experiment_id","cross_id","brood_id","vial_unique_id","treatment_id","data_collector","female_adult_count","male_adult_count","total_adult_count","EH_raw_marker_free_total_egg_count","MS_raw_marker_free_total_egg_count"
"1","SK_14",2,"A","SK_14_2_A","marker_free","SK",37,31,68,71,72
"2","SK_14",4,"A","SK_14_4_A","marker_free","SK",26,39,65,71,61
"3","SK_14",7,"A","SK_14_7_A","marker_free","SK",32,32,64,69,67
"4","SK_14",9,"A","SK_14_9_A","marker_free","SK",48,36,84,88,78
"5","SK_14",10,"A","SK_14_10_A","marker_free","SK",29,26,55,62,56
"6","SK_14",11,"A","SK_14_11_A","marker_free","SK",25,27,52,52,51
"7","SK_14",13,"A","SK_14_13_A","marker_free","SK",39,37,76,86,81
"8","SK_14",15,"A","SK_14_15_A","marker_free","SK",49,57,106,110,105
"9","SK_14",16,"A","SK_14_16_A","marker_free","SK",41,45,86,90,91
"10","SK_14",20,"A","SK_14_20_A","marker_free","SK",37,37,74,80,77
"11","SK_14",2,"B","SK_14_2_B","marker_free","SK",29,25,54,58,59
"12","SK_14",4,"B","SK_14_4_B","marker_free","SK",19,26,45,46,44
"13","SK_14",7,"B","SK_14_7_B","marker_free","SK",26,20,46,51,46
"14","SK_14",9,"B","SK_14_9_B","marker_free","SK",34,38,72,80,73
"15","SK_14",10,"B","SK_14_10_B","marker_free","SK",22,18,40,43,40
"16","SK_14",11,"B","SK_14_11_B","marker_free","SK",25,13,38,50,43
"17","SK_14",13,"B","SK_14_13_B","marker_free","SK",37,44,81,83,78
"18","SK_14",15,"B","SK_14_15_B","marker_free","SK",35,40,75,75,76
"19","SK_14",16,"B","SK_14_16_B","marker_free","SK",30,25,55,65,60
"20","SK_14",20,"B","SK_14_20_B","marker_free","SK",7,8,15,15,14
"21","SK_14",2,"C","SK_14_2_C","marker_free","SK",8,9,17,17,17
"22","SK_14",4,"C","SK_14_4_C","marker_free","SK",20,21,41,43,44
"23","SK_14",7,"C","SK_14_7_C","marker_free","SK",12,15,27,30,30
"24","SK_14",9,"C","SK_14_9_C","marker_free","SK",38,39,77,85,85
"25","SK_14",10,"C","SK_14_10_C","marker_free","SK",19,14,33,33,32
"26","SK_14",11,"C","SK_14_11_C","marker_free","SK",12,17,29,28,27
"27","SK_14",13,"C","SK_14_13_C","marker_free","SK",19,28,47,57,51
"28","SK_14",15,"C","SK_14_15_C","marker_free","SK",32,25,57,65,60
"29","SK_14",16,"C","SK_14_16_C","marker_free","SK",26,24,50,54,52
"30","SK_14",20,"C","SK_14_20_C","marker_free","SK",38,27,65,66,61
