"","experiment_id","cross_id","brood_id","vial_unique_id","treatment_id","data_collector","female_adult_count","male_adult_count","total_adult_count","EH_raw_marker_free_total_egg_count","MS_raw_marker_free_total_egg_count","transformed_mean_marker_free_total_egg_count","derived_marker_free_female_viability","derived_marker_free_male_viability","derived_marker_free_total_viability"
"1","SK_14",2,"A","SK_14_2_A","marker_free","SK",37,31,68,71,72,77,0.961038961038961,0.805194805194805,0.883116883116883
"2","SK_14",4,"A","SK_14_4_A","marker_free","SK",26,39,65,71,61,69,0.753623188405797,1.1304347826087,0.942028985507246
"3","SK_14",7,"A","SK_14_7_A","marker_free","SK",32,32,64,69,67,72,0.888888888888889,0.888888888888889,0.888888888888889
"4","SK_14",9,"A","SK_14_9_A","marker_free","SK",48,36,84,88,78,90,1.06666666666667,0.8,0.933333333333333
"5","SK_14",10,"A","SK_14_10_A","marker_free","SK",29,26,55,62,56,61,0.950819672131147,0.852459016393443,0.901639344262295
"6","SK_14",11,"A","SK_14_11_A","marker_free","SK",25,27,52,52,51,53,0.943396226415094,1.0188679245283,0.981132075471698
"7","SK_14",13,"A","SK_14_13_A","marker_free","SK",39,37,76,86,81,91,0.857142857142857,0.813186813186813,0.835164835164835
"8","SK_14",15,"A","SK_14_15_A","marker_free","SK",49,57,106,110,105,119,0.823529411764706,0.957983193277311,0.890756302521008
"9","SK_14",16,"A","SK_14_16_A","marker_free","SK",41,45,86,90,91,99,0.828282828282828,0.909090909090909,0.868686868686869
"10","SK_14",20,"A","SK_14_20_A","marker_free","SK",37,37,74,80,77,85,0.870588235294118,0.870588235294118,0.870588235294118
"11","SK_14",2,"B","SK_14_2_B","marker_free","SK",29,25,54,58,59,61,0.950819672131147,0.819672131147541,0.885245901639344
"12","SK_14",4,"B","SK_14_4_B","marker_free","SK",19,26,45,46,44,45,0.844444444444444,1.15555555555556,1
"13","SK_14",7,"B","SK_14_7_B","marker_free","SK",26,20,46,51,46,49,1.06122448979592,0.816326530612245,0.938775510204082
"14","SK_14",9,"B","SK_14_9_B","marker_free","SK",34,38,72,80,73,82,0.829268292682927,0.926829268292683,0.878048780487805
"15","SK_14",10,"B","SK_14_10_B","marker_free","SK",22,18,40,43,40,41,1.07317073170732,0.878048780487805,0.975609756097561
"16","SK_14",11,"B","SK_14_11_B","marker_free","SK",25,13,38,50,43,46,1.08695652173913,0.565217391304348,0.826086956521739
"17","SK_14",13,"B","SK_14_13_B","marker_free","SK",37,44,81,83,78,87,0.850574712643678,1.01149425287356,0.931034482758621
"18","SK_14",15,"B","SK_14_15_B","marker_free","SK",35,40,75,75,76,81,0.864197530864197,0.987654320987654,0.925925925925926
"19","SK_14",16,"B","SK_14_16_B","marker_free","SK",30,25,55,65,60,66,0.909090909090909,0.757575757575758,0.833333333333333
"20","SK_14",20,"B","SK_14_20_B","marker_free","SK",7,8,15,15,14,9,1.55555555555556,1.77777777777778,1.66666666666667
"21","SK_14",2,"C","SK_14_2_C","marker_free","SK",8,9,17,17,17,12,1.33333333333333,1.5,1.41666666666667
"22","SK_14",4,"C","SK_14_4_C","marker_free","SK",20,21,41,43,44,43,0.930232558139535,0.976744186046512,0.953488372093023
"23","SK_14",7,"C","SK_14_7_C","marker_free","SK",12,15,27,30,30,27,0.888888888888889,1.11111111111111,1
"24","SK_14",9,"C","SK_14_9_C","marker_free","SK",38,39,77,85,85,93,0.817204301075269,0.838709677419355,0.827956989247312
"25","SK_14",10,"C","SK_14_10_C","marker_free","SK",19,14,33,33,32,30,1.26666666666667,0.933333333333333,1.1
